epoch,phase,total,pde,ic,bc,lr,quantum_grad_norm,elapsed_sec
1,adam,0.5081323385238647,0.000204479816602543,0.4894680380821228,0.01845981366932392,0.001,0.14035044610500336,3.5543287000618875
100,adam,0.4383649528026581,0.0005875648930668831,0.43583449721336365,0.0019429109524935484,0.001,0.04673584923148155,33.405487100128084
200,adam,0.35342535376548767,0.03413587063550949,0.2838440239429474,0.0354454405605793,0.001,0.017808882519602776,65.64178790012375
300,adam,0.2601860463619232,0.03469495847821236,0.1899189054965973,0.03557218983769417,0.001,0.06960181891918182,101.17966479994357
400,adam,0.1693010777235031,0.05184555798768997,0.10585426539182663,0.011601247824728489,0.001,0.04251965507864952,135.73400990013033
500,adam,0.14528729021549225,0.052790090441703796,0.08474987000226974,0.007747340947389603,0.001,0.01731906458735466,214.11619800003245
600,adam,0.13883961737155914,0.05059604346752167,0.08121702820062637,0.0070265368558466434,0.001,0.019394831731915474,300.84092620015144
700,adam,0.13064545392990112,0.04925347492098808,0.07541842758655548,0.005973554216325283,0.001,0.015555307269096375,385.37383620021865
800,adam,0.12710009515285492,0.04910632222890854,0.07250748574733734,0.005486282519996166,0.0005,0.010364953428506851,475.8114352999255
900,adam,0.12566208839416504,0.04902571812272072,0.07134483009576797,0.005291532725095749,0.0005,0.008872468024492264,566.1111244000494
1000,adam,0.1244482770562172,0.048933178186416626,0.07037942856550217,0.005135672632604837,0.0005,0.008259845897555351,651.4016046002507
1100,adam,0.12324555218219757,0.04877601936459541,0.06948551535606384,0.0049840230494737625,0.0005,0.008276351727545261,739.482716599945
1200,adam,0.12185648828744888,0.04847659543156624,0.0685758888721466,0.004804008640348911,0.0005,0.008728129789233208,818.8395267999731
1300,adam,0.12010013312101364,0.047926802188158035,0.06760644167661667,0.004566888324916363,0.0005,0.008965783752501011,899.7162692002021
1400,adam,0.11798743158578873,0.047126952558755875,0.06660749763250351,0.004252975340932608,0.0005,0.008384188637137413,979.9338491000235
1500,adam,0.1158379316329956,0.04626445472240448,0.0656832754611969,0.0038901991210877895,0.00025,0.007090207654982805,1062.3317981003784
1600,adam,0.11486288160085678,0.0458570159971714,0.06528671085834503,0.003719156142324209,0.00025,0.006421409547328949,1144.7366635999642
1700,adam,0.1139850988984108,0.04546235129237175,0.06495431065559387,0.003568436251953244,0.00025,0.005872343201190233,1228.0894765001722
1800,adam,0.11318625509738922,0.04506954923272133,0.06467864662408829,0.0034380555152893066,0.00025,0.005482508800923824,1314.4256679001264
1900,adam,0.11244963854551315,0.0446801595389843,0.06444588303565979,0.003323592012748122,0.00025,0.005187471397221088,1392.616545600351
2000,adam,0.11176274716854095,0.044305525720119476,0.06423792243003845,0.0032193013466894627,0.00025,0.004919372498989105,1474.3739567999728
2100,adam,0.11111895740032196,0.043961670249700546,0.06403746455907822,0.0031198253855109215,0.00025,0.004647450987249613,1558.5349888000637
2200,adam,0.11051521450281143,0.043656378984451294,0.06383650749921799,0.0030223301146179438,0.00025,0.004356529098004103,1637.3794426000677
2300,adam,0.11008450388908386,0.04345417395234108,0.06368063390254974,0.0029496990609914064,0.000125,0.004125966224819422,1719.4129660003819
2400,adam,0.10980647057294846,0.04332961514592171,0.06357552856206894,0.0029013208113610744,0.000125,0.003959837835282087,1801.8439778001048
2500,adam,0.1095329225063324,0.04321059584617615,0.06346989423036575,0.002852431032806635,0.000125,0.0037811591755598783,1883.414965300355
2600,adam,0.10926470905542374,0.04309755563735962,0.06336361169815063,0.0028035405557602644,0.000125,0.0035830524284392595,1965.2847527000122
2700,adam,0.1090027391910553,0.04299052059650421,0.06325732916593552,0.00275488942861557,0.000125,0.003384060226380825,2047.6725431000814
2800,adam,0.10874766856431961,0.04288802295923233,0.06315271556377411,0.002706927014514804,0.000125,0.0031706036534160376,2131.4402288002893
2900,adam,0.10850000381469727,0.04279036819934845,0.06304992735385895,0.002659711055457592,0.000125,0.002950751455500722,2215.0023549003527
3000,adam,0.10826005041599274,0.04269689321517944,0.06294906884431839,0.002614086028188467,6.25e-05,0.002730253618210554,2299.5651079001836
3001,lbfgs,0.10825768113136292,0.0426960252225399,0.06294801086187363,0.0026136506348848343,1,0.0027324138209223747,0.8803343996405602
3100,lbfgs,0.09557625651359558,0.039332274347543716,0.05504138395190239,0.001202598330564797,1,0.05952894687652588,83.62280279956758
3200,lbfgs,0.09093492478132248,0.0376996248960495,0.052624646574258804,0.0006106547079980373,1,0.035933785140514374,166.24971079966053
3300,lbfgs,0.0884990468621254,0.035047903656959534,0.052791595458984375,0.0006595447775907815,1,0.04381033033132553,249.07667029974982
